course_num,course_name,description
CMPT 303,"Operating Systems
		
			(3)","A course teaching the internals of modern operating systems. Topics consist of kernel components of modern OSes, such as system calls, device drivers, virtual memory, scheduling, file systems, synchronization for multi-core, and memory ordering. Prerequisite:CMPT 225, (CMPT 295orENSC 254), and (CMPT 201orENSC 351), all with a minimum grade of C-."
CMPT 305,"Computer Simulation and Modelling
		
			(3)","An introduction to the modelling, analysis, and computer simulation of complex systems. Topics include analytic modelling, discrete event simulation, experimental design, random number generation, and statistical analysis. Prerequisite:CMPT 225, (MACM 101or (ENSC 251andENSC 252)) and (STAT 270orSTAT 271), all with a minimum grade of C-."
CMPT 307,"Data Structures and Algorithms
		
			(3)","Design and analysis of efficient data structures and algorithms. General techniques for building and analyzing algorithms (greedy, divide & conquer, dynamic programming, network flows). Introduction to NP-completeness. Prerequisite:CMPT 225, (MACM 201orCMPT 210), (MATH 150orMATH 151), and (MATH 232orMATH 240), all with a minimum grade of C-.MATH 154orMATH 157with a grade of at least B+ may be substituted forMATH 150orMATH 151."
CMPT 308,"Computability and Complexity
		
			(3)",Formal models of computation such as automata and Turing machines. Decidability and undecidability. Recursion Theorem. Connections between computability and logic (Gödel’s Incompleteness). Time and space complexity classes. NP-completeness. Prerequisite: (MACM 201orCMPT 210) with a minimum grade of C-.
CMPT 310,"Introduction to Artificial Intelligence
		
			(3)","Artificial intelligence is an area with vast application scenarios. This course is intended as a prerequisite for advanced-level AI courses and covers the fundamental concepts and foundational mathematical formulations in machine learning and AI. Topics include supervised learning, linear regression, gradient descent, search algorithms, Markov decision processes, and Bayes nets. Prerequisite:CMPT 225andSTAT 271, all with a minimum grade of C-. Recommended:MATH 251."
CMPT 318,"Special Topics in Computing Science
		
			(3)",Special topics in computing science at the 300 level. Topics that are of current interest or are not covered in regular curriculum will be offered from time to time depending on availability of faculty and student interest. Prerequisite:CMPT 225with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.
CMPT 320,"Social Implications - Computerized Society
		
			(3)","An examination of social processes that are being automated and implications for good and evil, that may be entailed in the automation of procedures by which goods and services are allocated. Examination of what are dehumanizing and humanizing parts of systems and how systems can be designed to have a humanizing effect. Prerequisite: A CMPT course with a minimum grade of C- and 45 units."
CMPT 340,"Biomedical Computing
		
			(3)","The principles involved in using computers for data acquisition, real-time processing, pattern recognition and experimental control in biology and medicine will be developed. The use of large data bases and simulation will be explored. Prerequisite: Completion of 60 units including (one ofCMPT 125,128or135),MATH 152and (MATH 232orMATH 240), all with a minimum grade of C-."
CMPT 353,"Computational Data Science
		
			(3)","Basic concepts and programming tools for handling and processing data. Includes data acquisition, cleaning data sources, application of machine learning techniques and data analysis techniques, large-scale computation on a computing cluster. Prerequisite:CMPT 225and (BUS 232,STAT 201,STAT 203,STAT 205,STAT 270,STAT 271,ENSC 280,MSE 210, orSEE 241), with a minimum grade of C-."
CMPT 354,"Database Systems I
		
			(3)","Logical representations of data records. Data models. Studies of some popular file and database systems. Document retrieval. Other related issues such as database administration, data dictionary and security. Prerequisite:CMPT 225and (MACM 101or (ENSC 251andENSC 252)), all with a minimum grade of C-."
CMPT 361,"Introduction to Visual Computing
		
			(3)","Provides a unified introduction to the fundamentals of computer graphics and computer vision (visual computing). Topics include graphics pipelines, sampling and aliasing, geometric transformations, projection and camera models, meshing, texturing, color theory, image filtering and registration, shading and illumination, raytracing, rasterization, animation, optical flow, and game engines. Prerequisite:CMPT 225and (STAT 271orENSC 280), both with a minimum grade of C-. Recommended:MATH 251."
CMPT 362,"Mobile Applications Programming and Design
		
			(3)","Teaches students how to design and implement smartphone applications. Topics include development environment, phone emulator, key programming paradigms, UI design including views, fragments, and activities, data persistence, threads, services, embedded sensors, and location based services (e.g., Google Maps). Concepts are reinforced through programming assignments and group projects. Prerequisite:CMPT 225with a minimum grade of C-. Students with credit forIAT 359may not take this course for further credit."
CMPT 363,"User Interface Design
		
			(3)","Builds on the fundamental concepts of human-computer interaction (HCI) and user interface design taught in the prerequisite course (CMPT 263), including usability and iterative user-centered design. The teaching format is studio-based, where students acquire hands-on experience by engaging in term-long projects on designing, implementing, and evaluating interactive computer systems. Students apply HCI concepts to real-world scenarios while exploring advanced and specialized topics such as emerging interaction paradigms, human-AI interaction, ubiquitous computing, the social impact of HCI, and inclusive design. Prerequisite:CMPT 225andCMPT 263, both with a minimum grade of C-."
CMPT 365,"Multimedia Systems
		
			(3)","Multimedia systems design, multimedia hardware and software, issues in effectively representing, processing, and retrieving multimedia data such as text, graphics, sound and music, image and video. Prerequisite:CMPT 225with a minimum grade of C-."
